[2021-05-11 06:44:00] COMMAND: train.py --model dncnn --min_noise 0 --max_noise 30 --bias
[2021-05-11 06:44:00] Arguments: {'data_path': 'data', 'dataset': 'bsd400', 'batch_size': 32, 'model': 'dncnn', 'noise_mode': 'B', 'noise_std': 25, 'min_noise': 0.0, 'max_noise': 30.0, 'lr': 0.001, 'num_epochs': 30, 'valid_interval': 1, 'save_interval': 1, 'seed': 0, 'output_dir': 'D:\\0-cs\\bf\\bias_free_denoising-master\\experiments', 'experiment': 'dncnn-B-0.0-30.0-May.11.06.44.00', 'resume_training': False, 'restore_file': None, 'no_save': False, 'step_checkpoints': False, 'no_log': False, 'log_interval': 100, 'no_visual': False, 'visual_interval': 100, 'no_progress': False, 'draft': False, 'dry_run': False, 'in_channels': 1, 'hidden_size': 64, 'num_layers': 20, 'bias': True, 'experiment_dir': 'D:\\0-cs\\bf\\bias_free_denoising-master\\experiments\\dncnn\\dncnn-B-0.0-30.0-May.11.06.44.00', 'checkpoint_dir': 'D:\\0-cs\\bf\\bias_free_denoising-master\\experiments\\dncnn\\dncnn-B-0.0-30.0-May.11.06.44.00\\checkpoints', 'log_dir': 'D:\\0-cs\\bf\\bias_free_denoising-master\\experiments\\dncnn\\dncnn-B-0.0-30.0-May.11.06.44.00\\logs', 'log_file': 'D:\\0-cs\\bf\\bias_free_denoising-master\\experiments\\dncnn\\dncnn-B-0.0-30.0-May.11.06.44.00\\logs\\train.log'}
[2021-05-11 06:44:04] Built a model consisting of 668,225 parameters
[2021-05-11 07:46:32] epoch 00 | train_loss 1.255 | train_psnr 32.766 | train_ssim 0.878 | valid_psnr 31.914 | valid_ssim 0.879 | lr 1.0e-03
[2021-05-12 03:27:33] epoch 19 | train_loss 1.114 | train_psnr 33.439 | train_ssim 0.895 | valid_psnr 32.615 | valid_ssim 0.900 | lr 1.0e-03
[2021-05-12 04:29:41] epoch 20 | train_loss 1.115 | train_psnr 33.572 | train_ssim 0.895 | valid_psnr 32.663 | valid_ssim 0.902 | lr 1.0e-03
[2021-05-12 05:32:12] epoch 21 | train_loss 1.135 | train_psnr 33.339 | train_ssim 0.894 | valid_psnr 32.693 | valid_ssim 0.903 | lr 1.0e-03
[2021-05-12 06:34:44] epoch 22 | train_loss 1.160 | train_psnr 33.426 | train_ssim 0.894 | valid_psnr 32.636 | valid_ssim 0.901 | lr 1.0e-03
[2021-05-12 07:36:42] epoch 23 | train_loss 1.064 | train_psnr 33.610 | train_ssim 0.897 | valid_psnr 32.693 | valid_ssim 0.902 | lr 1.0e-03
[2021-05-12 08:38:36] epoch 24 | train_loss 1.098 | train_psnr 33.608 | train_ssim 0.897 | valid_psnr 32.596 | valid_ssim 0.900 | lr 1.0e-03
[2021-05-12 09:40:33] epoch 25 | train_loss 1.143 | train_psnr 33.316 | train_ssim 0.893 | valid_psnr 32.616 | valid_ssim 0.902 | lr 1.0e-03
[2021-05-12 10:42:41] epoch 26 | train_loss 1.141 | train_psnr 33.317 | train_ssim 0.894 | valid_psnr 32.681 | valid_ssim 0.901 | lr 1.0e-03
[2021-05-12 11:44:49] epoch 27 | train_loss 1.128 | train_psnr 33.573 | train_ssim 0.896 | valid_psnr 32.571 | valid_ssim 0.899 | lr 1.0e-03
[2021-05-12 12:46:58] epoch 28 | train_loss 1.146 | train_psnr 33.332 | train_ssim 0.893 | valid_psnr 32.721 | valid_ssim 0.902 | lr 1.0e-03
[2021-05-12 13:49:08] epoch 29 | train_loss 1.112 | train_psnr 33.500 | train_ssim 0.897 | valid_psnr 32.691 | valid_ssim 0.902 | lr 1.0e-03
[2021-05-12 13:49:08] Done training! Best PSNR 32.721 obtained after step 365399.
